epoch,train_loss,val_loss,train_dice_macro,val_dice_macro,val_iou_macro,val_f1_macro,train_mPQ,val_mPQ,train_bPQ,val_bPQ,learning_rate,val_dice_Neoplastic,val_iou_Neoplastic,val_f1_Neoplastic,val_pq_Neoplastic,val_dice_Inflammatory,val_iou_Inflammatory,val_f1_Inflammatory,val_pq_Inflammatory,val_dice_Connective_Soft_tissue,val_iou_Connective_Soft_tissue,val_f1_Connective_Soft_tissue,val_pq_Connective_Soft_tissue,val_dice_Dead,val_iou_Dead,val_f1_Dead,val_pq_Dead,val_dice_Epithelial,val_iou_Epithelial,val_f1_Epithelial,val_pq_Epithelial
1,1.0679742617621308,1.031554250023033,0.21678947889788938,0.21949112850479197,0.18374894515231663,0.21949112700291956,0.1380209709794453,0.1550349653535686,0.9999999999962799,0.999999999992073,9.990232305719945e-05,0.8912068010479799,0.8037628674944137,0.8912067960579224,0.775174826767843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20624884147597988,0.11498185826716945,0.20624883895667537,0.0
2,1.0092011949136144,1.0152269032182573,0.23063356110571215,0.22533389764976683,0.18823441331960872,0.22533389568835754,0.16717392100470593,0.15755645162580875,0.9999999999962799,0.999999999992073,9.960967771506666e-05,0.89787773105703,0.8146806904810767,0.8978777260637527,0.7877822581290438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021553394948022272,0.01089409989280758,0.02155339271977169,0.0,0.20723836224378192,0.1155972762241594,0.20723835965826332,0.0
3,0.974140977930455,0.98663032620768,0.32324702120028787,0.36569350825401575,0.2952558226307484,0.3656935045364006,0.19940274483356846,0.2209785684584562,0.9999999999962799,0.999999999992073,9.912321891107009e-05,0.9594880521156554,0.9221307396484645,0.9594880471158835,0.9165086979806033,0.0,0.0,0.0,0.0,0.30892834064551206,0.18268199276867747,0.30892833569555117,0.022877707073486905,0.04086747235067954,0.020859983576361055,0.04086746854576435,0.0,0.5191836761582321,0.3506063971602391,0.5191836713248039,0.16550643723819083
4,0.948075167657364,0.9836046820199942,0.3997976323006126,0.3513185343176118,0.2808349114032729,0.3513185305818543,0.22393402364091336,0.1879301716525464,0.9999999999962799,0.999999999992073,9.844486647586723e-05,0.9520511029425137,0.9084900090221555,0.9520510979426761,0.8951501857958701,0.0,0.0,0.0,0.0,0.3026107184234333,0.17828009267406403,0.3026107134234345,0.023298818758858583,0.05054691907478019,0.02592876923757015,0.05054691477860895,0.0,0.4513839311473316,0.2914756860825749,0.45138392676455197,0.021201853708003402
5,0.9291211164423397,0.9671129486228847,0.43429963863695775,0.464652735165026,0.3571175312988274,0.46465273077307845,0.23145399861567,0.240643386603628,0.9999999999962799,0.999999999992073,9.757729755661011e-05,0.9643847749144827,0.9312191937259781,0.9643847699156775,0.9286566106630189,0.3614162125124211,0.22056620800976942,0.3614162079868029,0.011820105811962786,0.2807682949175006,0.1633103287285105,0.28076829062096437,0.020779963577033007,0.1659771150465835,0.09049893346930579,0.1659771119044584,0.0,0.5507172784341423,0.37999299256057323,0.5507172734374893,0.24196025296612533
6,0.9026083742224035,0.9582996326911298,0.5013041880683848,0.4966342973387256,0.378635063456128,0.4966342925264258,0.25863548175670914,0.24117408023151193,0.9999999999962799,0.999999999992073,9.652393605146844e-05,0.9626827610925115,0.9280504796260951,0.9626827560927472,0.9242446005921268,0.4092617103797653,0.2572778395102757,0.40926170580120064,0.021936513307568625,0.3217279940490946,0.19170193681852193,0.32172798925512414,0.04943447652252782,0.2369245589381626,0.13438140729557857,0.23692455415465782,0.0,0.5525744622340942,0.38176365403016876,0.5525744573283992,0.21025481073533625
7,0.8841057776340416,0.9463476712190653,0.5235118351017842,0.5212076445101959,0.39844698228632636,0.52120763993879,0.2722330548782847,0.2579145229365862,0.9999999999962799,0.999999999992073,9.528893909706797e-05,0.9632556831067955,0.9291159521311568,0.9632556781068671,0.9254174453760028,0.4465747349822833,0.2874774506626748,0.44657473028386796,0.03289277455991395,0.364403555096104,0.2227955167251024,0.3644035501408554,0.04970382979793277,0.2507450337467664,0.14334390273811398,0.2507450305034358,0.0,0.5810592156190298,0.40950208917458375,0.5810592106589236,0.2815585649490814
8,0.8616748326236293,0.9439319447626041,0.5388674962480546,0.5309432282820208,0.4046275907686493,0.5309432234851746,0.275196251364622,0.2627569288266937,0.9999999999962799,0.999999999992073,9.387718066217124e-05,0.9591056430356648,0.9214245774497241,0.959105638035772,0.9164317328057818,0.4709951336446453,0.3080403104061683,0.4709951286451471,0.06175550926976856,0.3415697252041626,0.20595965377333206,0.34156972021391024,0.036649454884880535,0.300775779980945,0.1770077053030542,0.300775775956356,0.014938684427119148,0.5822698595446857,0.41070570691096786,0.5822698545746875,0.2840092627459186
9,0.8419003379309461,0.942936717332164,0.5518012466592664,0.525975997913789,0.40252235600207903,0.5259759931017176,0.28278929171005235,0.2680149701753773,0.9999999999962799,0.999999999992073,9.229423231234974e-05,0.96021430102685,0.9234732714396038,0.9602142960270525,0.9158053489171314,0.49950817694494287,0.3328963005795831,0.4995081723559153,0.06653345268513121,0.32094704252532996,0.19114765921858762,0.32094703752574893,0.04111533726874618,0.2658499103560033,0.1533027111918436,0.2658499058654653,0.015618762800130762,0.5833605587158182,0.41179183758077675,0.5833605537344063,0.301001949205747
10,0.8290254196950367,0.9368174098714998,0.5669448899504743,0.5437154419037918,0.4170440777588536,0.5437154370677856,0.28974308603915233,0.27645216989235677,0.9999999999962799,0.999999999992073,9.054634122155989e-05,0.9619310981023294,0.9266543832917492,0.9619310931023343,0.9205168145985001,0.517246931076305,0.34884225965673826,0.5172469261836178,0.06480008281835935,0.3340229624178495,0.20049673848003355,0.33402295743071325,0.057863000870916455,0.30398590757348765,0.17923548449917096,0.3039859032687874,0.0,0.6013903103489876,0.42999152286657566,0.6013903053534752,0.3390809511740079
