Metric,Mean,Std,Result
bPQ,0.9999999999923985,2.9631001857078624e-13,1.0000 ± 0.0000
mPQ,0.3183772092856559,0.03539724398634372,0.3184 ± 0.0354
mDQ,0.41079318202212073,0.0453666047975729,0.4108 ± 0.0454
mSQ,0.6768523552843418,0.020568023341588828,0.6769 ± 0.0206
