Dataset,Class,ZS_Dice,FT_Dice,Delta_Dice,ZS_PQ,FT_PQ
CoNSeP,Neoplastic,0.004878363276503219,0.9515728503280851,0.9466944870515819,0.0038429752404001497,0.23155309120326614
CoNSeP,Inflammatory,0.07715736793077485,0.5301276578018902,0.4529702898711153,0.037985278026003974,0.3362681439450413
CoNSeP,Connective,0.0,0.0017417626003183226,0.0017417626003183226,0.0,0.0
CoNSeP,Epithelial,0.8571428571428704,0.07308155562529114,-0.7840613015175792,0.8571428571428571,0.0032411551805685067
MoNuSAC,Inflammatory,0.09655000393451812,0.48861632741822125,0.3920663234837031,0.0203819353990349,0.2960516206078714
MoNuSAC,Epithelial,0.6470588235295993,0.7045276784814588,0.057468854951859494,0.6470588235294118,0.41858276016967083
