Dataset,Model,Setting,Dice,PQ,mPQ
CoNSeP,CIPS-Net,Zero-Shot,0.24369899693351324,0.22842188152502413,0.22842188152502413
CoNSeP,CIPS-Net,Fine-tuned,0.3891309565888962,0.142765597582219,0.142765597582219
CoNSeP,SAM,Zero-Shot,0.26700026760449574,0.07446305308359132,0.07446305308359132
CoNSeP,SAM,Fine-tuned,0.3843666944893519,0.009221732834345821,0.009221732834345821
MoNuSAC,CIPS-Net,Zero-Shot,0.37180441373205875,0.33372037946422334,0.33372037946422334
MoNuSAC,CIPS-Net,Fine-tuned,0.59657200294984,0.3573171903887711,0.3573171903887711
MoNuSAC,SAM,Zero-Shot,0.4052264347107336,0.18768272726084673,0.18768272726084673
MoNuSAC,SAM,Fine-tuned,0.43125342230557157,0.022982606566481753,0.022982606566481753
