Metric,Mean,Std,Result
bPQ,0.9999999999923985,2.9631001857078624e-13,1.0000 ± 0.0000
mPQ,0.35306013039611434,0.00654970173472535,0.3531 ± 0.0065
mDQ,0.45738886504868437,0.008715801482721853,0.4574 ± 0.0087
mSQ,0.6986544780313656,0.0010548408840181567,0.6987 ± 0.0011
