Variant,mDice,mPQ,Dice_Neoplastic,PQ_Neoplastic,Dice_Inflammatory,PQ_Inflammatory,Dice_Connective_Soft_tissue,PQ_Connective_Soft_tissue,Dice_Dead,PQ_Dead,Dice_Epithelial,PQ_Epithelial
CIPS-Net (Per-Image Text),0.7661006238220218,0.535571794962291,0.8857218086977591,0.0008312741511690057,0.6974327189758236,0.6041219538542062,0.45539349003178337,0.28323741560770266,0.9775072941949299,0.9766391366019135,0.8144478072098131,0.8130291945964639
CIPS-Net (Common Text),0.35576796335159544,0.10914307063911174,0.9383899555373264,8.333080962307545e-05,0.3379466954411547,0.2384869784735511,0.1381489492459001,0.029502516918756466,0.22895909554790705,0.2260002792435827,0.13539512098568923,0.0516422477500454
CIPS-Net (No Text),0.69100335510111,0.4998493975903614,0.9557697875537428,0.0,0.4796686746987952,0.4796686746987952,0.2311746987951807,0.2311746987951807,0.9755271084337349,0.9755271084337349,0.8128765060240963,0.8128765060240963
