Dataset,Variant,Setting,mDice,mPQ
PanNuke,Per-Image Text,Zero-Shot,0.7661006238220218,0.535571794962291
PanNuke,Common Text,Zero-Shot,0.35576796335159544,0.10914307063911174
PanNuke,No Text,Zero-Shot,0.69100335510111,0.4998493975903614
CoNSeP,Per-Image Text,Zero-Shot,0.42339574315379847,0.2744756653711591
CoNSeP,Common Text,Zero-Shot,0.1499006237939744,0.04505938917543837
CoNSeP,No Text,Zero-Shot,0.2523349569663086,0.21428571428571427
MoNuSAC,Per-Image Text,Zero-Shot,0.41577792988044326,0.3509296008366571
MoNuSAC,Common Text,Zero-Shot,0.10160330879387136,0.060352523769278923
MoNuSAC,No Text,Zero-Shot,0.3588235294132635,0.3588235294117647
