epoch,train_loss,val_loss,train_dice_macro,val_dice_macro,val_iou_macro,val_f1_macro,learning_rate,val_dice_Neoplastic,val_iou_Neoplastic,val_f1_Neoplastic,val_dice_Inflammatory,val_iou_Inflammatory,val_f1_Inflammatory,val_dice_Connective_Soft_tissue,val_iou_Connective_Soft_tissue,val_f1_Connective_Soft_tissue,val_dice_Dead,val_iou_Dead,val_f1_Dead,val_dice_Epithelial,val_iou_Epithelial,val_f1_Epithelial
1,1.1512881971540905,1.0736719400067873,0.18486941138958904,0.22171865855801492,0.1867790511063115,0.2217186570482707,9.990232305719945e-05,0.8992924477239057,0.8170130620656747,0.8992924427302976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20930084506616892,0.11688219346588281,0.20930084251105596
2,1.0405394140453565,1.041246356843393,0.22445139889666707,0.2214976375754329,0.18659950751595608,0.22149763606687095,9.960967771506666e-05,0.899089153089011,0.8166775317108891,0.8990891480954954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20839903478815336,0.11632000586889132,0.20839903223885933
3,1.0148751455403509,1.0271112696279454,0.22677663671936124,0.2215622101187978,0.18690658159341855,0.22156220860376408,9.912321891107009e-05,0.9003854075436769,0.8188190787213843,0.9003854025495531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207425643050312,0.11571382924570854,0.20742564046926726
4,1.0036639599573045,1.0167787580550471,0.23144269290118916,0.1957351027701881,0.18518639579234947,0.19573510126004648,9.844486647586723e-05,0.9550582123827006,0.9139822176701791,0.9550582073912431,0.0,0.0,0.0,0.0,0.0,0.0,0.02361730146823995,0.01194976129156821,0.023617298908989223,0.0,0.0,0.0
5,0.9902936358536992,1.010046261398098,0.230176539715176,0.2177351173478177,0.19348370708810997,0.21773511421888753,9.757729755661011e-05,0.9432471704517181,0.8925901536075537,0.9432471654553237,0.0,0.0,0.0,0.0564981022525823,0.029070258340403707,0.05649809798300264,0.021509167842030684,0.01087150240598806,0.021509165612591353,0.06742114619275746,0.034886621086604376,0.06742114204351979
6,0.9824806206992694,1.0051817920389055,0.22720619078043117,0.2127639891149145,0.1905149849575955,0.21276398545595937,9.652393605146844e-05,0.942250802589839,0.8908073907282431,0.9422507975932003,0.027417193165277323,0.01389913420632107,0.027417188246098866,0.03376659097367599,0.017173236309923734,0.033766587662075055,0.021483241468427308,0.010858256002022377,0.021483239238445005,0.0389021173773528,0.01983690754146733,0.03890211453997772
7,0.9765450450636092,1.003345719998396,0.22676209861517008,0.23736323695686493,0.1985733507421234,0.2373632326888452,9.528893909706797e-05,0.9194457326279234,0.8509019494819343,0.9194457276280221,0.02717688927711791,0.013775634079610792,0.027176884334130704,0.05550739598919193,0.028545953774624596,0.05550739147479288,0.02230565571405459,0.011278616323347042,0.022305653238789795,0.16238051117603686,0.08836460005110028,0.16238050676849058
8,0.9723601527512074,0.999410992936243,0.22612593541611017,0.23283829356350236,0.19741024891442172,0.23283828923899694,9.387718066217124e-05,0.9258751431256369,0.8619809300567498,0.9258751381258055,0.02704679811602881,0.013708788475165982,0.027046793167524667,0.05573235027824762,0.028664957875642057,0.05573234575475314,0.021546729069062676,0.010890693950494025,0.021546726844786996,0.1339904472285359,0.07180587421405667,0.13399044230211424
9,0.9695428485671679,0.9977741199958173,0.22903620234146355,0.20886637425106996,0.1878230462793135,0.20886637091557553,9.229423231234974e-05,0.9392517673543851,0.8854615435104658,0.9392517623570924,0.027539442893372866,0.013961973938667785,0.02753943796724207,0.05586464196003396,0.0287349549654585,0.05586463742842552,0.02167601904755787,0.010956758981975333,0.021676016825117474,0.0,0.0,0.0
10,0.9665070280787491,0.9990156051478808,0.22804668178958068,0.23813331746613078,0.19766358264059336,0.23813331393838483,9.054634122155989e-05,0.9127531932945603,0.8395087368068456,0.9127531882952404,0.0011807049645104813,0.000590701204177398,0.0011807036172382915,0.08627692383937421,0.045083285515094385,0.0862769188542722,0.021552944337553694,0.01089386965189073,0.02155294211216631,0.1689028208946552,0.09224132002495868,0.16890281681300695
11,0.9661847459418433,0.9984835310827328,0.22641462909223953,0.23872188574678788,0.19531007273664233,0.2387218817022588,8.864040551740155e-05,0.9005374724533408,0.8190706366890013,0.9005374674572174,0.026157105700363326,0.013251868107590421,0.026157100721652792,0.056243243732294564,0.02893533028293609,0.056243239184095496,0.021916990641345162,0.011079914512005849,0.021916988346883232,0.1887546162065955,0.10421261409167812,0.1887546128014453
12,0.9646293045509429,0.9981085510948037,0.22557498012589403,0.20885974738461655,0.1877582451215058,0.2088597440661649,8.658394705735986e-05,0.939003008211694,0.8850194821278506,0.9390030032143377,0.027529967823854095,0.01395710321311265,0.027529962899019034,0.0562967523670316,0.02896365607023062,0.056296747816706544,0.021469008520502986,0.010850984196334972,0.02146900640076126,0.0,0.0,0.0
13,0.963208500650667,0.9981224235100082,0.22573930691407829,0.2311328896680595,0.19683316971148024,0.23113288532903456,8.438508174347008e-05,0.9276119554991642,0.8649965469644333,0.9276119504995003,0.027193623364946018,0.013784233306934672,0.027193618425763004,0.05635286192797684,0.028993360381182855,0.05635285737558725,0.02165214446844905,0.010944558818566038,0.02165214225450954,0.12285386307976152,0.06544714908628432,0.12285385808981296
